index,City,Lat,Lng,Max Temp,Cloudiness,Country,Date,Humidity,Wind Speed
377,maceio,-9.67,-35.74,78.8,40,BR,1542661200,78,11.41
378,qorveh,35.17,47.8,32.99,56,IR,1542665033,75,0.78
379,puerto escondido,15.86,-97.07,89.6,20,MX,1542660300,62,9.17
380,sabinas hidalgo,26.51,-100.18,55,92,MX,1542665033,75,5.48
381,lorengau,-2.02,147.27,80.2,76,PG,1542664771,100,10.29
382,puerto ayacucho,5.66,-67.63,93.2,40,CO,1542661200,56,3.36
383,nurota,40.56,65.69,42.8,90,UZ,1542663000,87,4.7
384,pensacola,30.42,-87.22,69.08,1,US,1542663300,50,3.13
385,san antonio,-33.58,-71.61,75.2,0,CL,1542661200,60,6.93
386,garowe,8.41,48.48,68.05,0,SO,1542665035,57,8.05
387,dingle,11,122.67,73.85,92,PH,1542663994,95,7.38
389,sulmona,42.05,13.93,44.6,75,IT,1542660600,100,3.36
390,manaure,11.78,-72.45,89.6,20,CO,1542661200,55,13.87
391,sedlcany,49.66,14.43,30.2,20,CZ,1542663000,80,16.11
392,chokurdakh,70.62,147.9,-13.72,20,RU,1542664568,64,8.16
393,cardston,49.2,-113.32,51.8,1,CA,1542661200,45,21.92
394,ystad,55.43,13.82,39.2,75,SE,1542662400,86,14.99
395,yenagoa,4.92,6.26,76.6,80,NG,1542665037,87,7.72
396,eyl,7.98,49.82,74.98,0,SO,1542665037,100,10.63
397,alofi,-19.06,-169.92,84.2,40,NU,1542661200,79,9.17
399,mehamn,71.03,27.85,44.6,75,NO,1542662400,81,38.03
401,malkangiri,18.35,81.9,65.94,12,IN,1542665037,92,3.13
403,pimentel,-3.7,-45.5,84.97,24,BR,1542665038,72,3.13
404,neuquen,-38.95,-68.06,87.8,0,AR,1542661200,18,5.82
405,pueblo nuevo,23.99,-106.96,82.72,24,MX,1542665038,38,3.58
407,broken hill,-31.97,141.45,71.2,56,AU,1542664583,42,12.19
408,itarema,-2.92,-39.92,84.88,0,BR,1542663986,58,18.23
409,lahat,-3.78,103.55,71.79,92,ID,1542665039,98,4.14
410,nishihara,35.74,139.53,53.6,90,JP,1542661200,71,4.7
411,puerto leguizamo,-0.19,-74.78,80.97,48,CO,1542664556,87,2.24
412,bambous virieux,-20.34,57.76,75.2,40,MU,1542661200,83,4.7
413,maragogi,-9.01,-35.22,77.5,68,BR,1542664865,90,9.95
414,edd,13.93,41.69,66.25,0,ER,1542665039,50,3.58
415,malanje,-9.54,16.35,71.15,12,AO,1542664798,90,4.25
416,soyo,-6.13,12.37,78.27,68,AO,1542664857,92,5.82
417,ahipara,-35.17,173.16,53.38,92,NZ,1542664791,100,17.78
418,gelibolu,40.41,26.67,55.4,75,TR,1542660600,100,2.24
419,atar,20.52,-13.05,66.02,0,MR,1542664612,52,5.37
